Comment:,"Melting MIX1G pyroxenite, full thermal exchange with peridotite, Tp=1300_C., P in (kb)",,,,,
P,F,Kr,DU,DTh,DRa,DPa
5.2,0.221007592,1,0.008962426,0.007851896,0.005532033,0.00001
5.1,0.222857629,1,0.008636425,0.00765087,0.00568734,0.00001
5,0.224712143,1,0.008023984,0.007273181,0.005973399,0.00001
4.9,0.226571121,1,0.008016838,0.007267802,0.005982385,0.00001
4.8,0.228434547,1,0.007723439,0.007085869,0.006122032,0.00001
4.7,0.230302404,1,0.007441097,0.006910412,0.00625637,0.00001
4.6,0.232174675,1,0.007169906,0.006741487,0.006385351,0.00001
4.5,0.234051343,1,0.006780574,0.006505091,0.006568352,0.00001
4.4,0.235932388,1,0.006661361,0.006423454,0.006627063,0.00001
4.3,0.237817792,1,0.0064242,0.00627446,0.0067397,0.00001
4.2,0.239707534,1,0.006198577,0.006132225,0.006846796,0.00001
4.1,0.241601593,1,0.00598459,0.005996806,0.006948304,0.00001
4,0.243499948,1,0.005894233,0.005949299,0.007022118,0.00001
3.9,0.245402576,1,0.005591917,0.005746648,0.007134364,0.00001
3.8,0.247309455,1,0.005413432,0.005632026,0.00721882,0.00001
3.7,0.249220559,1,0.00524698,0.005524454,0.007297497,0.00001
3.6,0.251135865,1,0.005092665,0.005423992,0.007370346,0.00001
3.5,0.253055348,1,0.005236778,0.005513096,0.007326879,0.00001
3.4,0.254978981,1,0.004820847,0.005244637,0.007498363,0.00001
3.3,0.256906739,1,0.004703551,0.005165864,0.007553432,0.00001
3.2,0.258838593,1,0.004598801,0.005094443,0.007602476,0.00001
3.1,0.260774517,1,0.004506702,0.005030434,0.007645444,0.00001
3,0.262714482,1,0.004678417,0.005119066,0.007545745,0.00001
2.9,0.264658459,1,0.004360874,0.004924901,0.007712952,0.00001
2.8,0.266606418,1,0.004307358,0.004883501,0.007737391,0.00001
2.7,0.26855833,1,0.004266916,0.004849762,0.00775555,0.00001
2.6,0.270514165,1,0.004239655,0.004823748,0.007767379,0.00001
2.5,0.272473892,1,0.004220001,0.00479515,0.007760311,0.00001
2.4,0.274437479,1,0.004225109,0.004795147,0.007771839,0.00001
2.3,0.276404895,1,0.004238043,0.004792689,0.007764365,0.00001
2.2,0.278376109,1,0.003992611,0.004635355,0.007884305,0.00001
